iter	CrossEntropy
148	0.2378741083
149	0.2378428942
150	0.2376019798
151	0.2375680605
152	0.2374972915
153	0.2373745543
154	0.2373017333
155	0.2372213349
156	0.2370819508
157	0.2368793865
158	0.2368425676
159	0.2364889045
160	0.2364038843
161	0.2359648443
162	0.2358904413
163	0.2355327031
164	0.2351631176
165	0.2349398041
166	0.2347160293
167	0.2345730891
168	0.2344932598
169	0.2343921138
170	0.2342384801
171	0.234037477
172	0.2335118444
173	0.2334375166
174	0.2333648455
175	0.2332137645
176	0.2331825822
177	0.2329665222
178	0.2329099922
179	0.2326833764
180	0.2326060522
181	0.2325413236
182	0.23252416
183	0.2324967171
184	0.2324020506
185	0.2321746569
186	0.2321144282
187	0.2317014162
188	0.2316607901
189	0.2316365356
190	0.2314470047
191	0.2311899442
192	0.2311839002
193	0.2311269677
194	0.2310476021
195	0.2309409532
196	0.2308506178
197	0.2305796938
198	0.2304463008
199	0.2304218452
200	0.2302636446
201	0.2302294207
202	0.2300660443
203	0.2300408512
204	0.2297820598
205	0.2296048154
206	0.2294042175
207	0.2291637556
208	0.229095663
209	0.2290522995
210	0.2289640368
211	0.2288896292
212	0.2288148764
213	0.2287466585
214	0.2287125188
215	0.2286560786
216	0.2286201624
217	0.2284541436
218	0.2284044646
219	0.2283674619
220	0.2282252146
221	0.2281699469
222	0.2281267206
223	0.2280730944
224	0.2280006672
225	0.2279734016
226	0.2279053499
227	0.227885283
228	0.2276655041
229	0.2276318047
230	0.2275761709
231	0.2274143901
232	0.2273634201
233	0.2273511233
234	0.2271889891
235	0.2271280469
236	0.2270874869
237	0.2270753895
238	0.227017407
239	0.2269696727
240	0.2269518867
241	0.2268264154
242	0.2267841197
243	0.2267637405
244	0.226708268
245	0.2264912954
246	0.2264743089
247	0.2264717903
248	0.2264063612
249	0.2262546571
250	0.226213761
251	0.2260038271
252	0.2259672514
253	0.2259284944
254	0.2258801765
255	0.2258248915
256	0.2256691772
257	0.2256357873
258	0.2254730986
259	0.225349996
260	0.2251906513
261	0.2251298166
262	0.2250483281
263	0.2249212273
264	0.224830558
265	0.2247980273
266	0.2247384654
267	0.22459731
268	0.2245759424
269	0.2245351112
270	0.2244875784
271	0.2242677016
272	0.2242308806
273	0.2241205403
274	0.2240354146
275	0.2238860793
276	0.2238152583
277	0.2237067495
278	0.223601659
279	0.2235875534
280	0.223551712
281	0.2233830499
282	0.22331698
283	0.2232544326
284	0.2232451394
285	0.2232131848
286	0.2231056148
287	0.2230842095
288	0.2230666042
289	0.2230055443
290	0.2229782296
291	0.222894814
292	0.2227672303
293	0.2227345489
294	0.2226881217
295	0.2226643056
296	0.2226145978
297	0.2224886187
298	0.2223964623
299	0.2223368806
300	0.2223019066
301	0.2222248257
302	0.2222017235
303	0.2221565053
304	0.2221480128
305	0.2220999541
306	0.222094296
307	0.2219782861
308	0.2218512675
309	0.2218035366
310	0.22176545
311	0.2217227387
312	0.2217178311
313	0.2215903546
314	0.2215693311
315	0.221530806
316	0.2215058565
317	0.221399584
318	0.2213374803
319	0.2213122023
320	0.2212634536
321	0.2212509867
322	0.2212324693
323	0.2212248081
324	0.2211462225
325	0.2210717709
326	0.2209769456
327	0.2209554267
328	0.2208290342
329	0.2206406686
330	0.2204520181
331	0.2203642043
332	0.2202532348
333	0.2202520999
334	0.2202128567
335	0.2201690665
336	0.2200089735
337	0.2199348217
338	0.2197625152
339	0.2197398828
340	0.2197116403
341	0.2195885483
342	0.2195094724
343	0.2194837285
344	0.2194829503
345	0.219460578
346	0.2194414461
347	0.2194351696
348	0.2194122083
349	0.2194103526
350	0.21936244
351	0.2191989021
352	0.2191749152
353	0.2191722232
354	0.2191068092
355	0.2190981161
356	0.2190760632
357	0.2190198193
358	0.2190150935
359	0.2189972515
360	0.2188378104
361	0.2187922253
362	0.2186132473
363	0.2185870524
364	0.2185262806
365	0.2184958233
366	0.2184401617
367	0.2184270503
368	0.2184139325
369	0.2183615099
370	0.2183193724
371	0.2182895115
372	0.2182074575
373	0.2181872302
374	0.2181738809
375	0.2181295157
376	0.2180458838
377	0.2180310495
378	0.2180106001
379	0.217923667
380	0.2179092296
381	0.2177674217
382	0.217755006
383	0.21771684
384	0.2176982852
385	0.2176588595
386	0.2176483931
387	0.2176397022
388	0.217619797
389	0.2174889779
390	0.2174524259
391	0.2174400737
392	0.2173229587
393	0.2172349018
394	0.2172313454
395	0.2172098528
396	0.217203458
397	0.2171613418
398	0.2171453158
399	0.2171277117
400	0.2169187724
401	0.2168918461
402	0.2168066018
403	0.2167539445
404	0.2167143163
405	0.2166167391
406	0.2166075502
407	0.2164881865
408	0.2163561179
409	0.2162566821
410	0.2162359803
411	0.2162301168
412	0.2162019
413	0.2160743331
414	0.2160691007
415	0.2160366366
416	0.215903152
417	0.2158933887
418	0.2157351604
419	0.2157296197
420	0.2156504061
421	0.2155959535
422	0.2155860872
423	0.2155395564
424	0.2154347433
425	0.2153427453
426	0.2153235268
427	0.2153046579
428	0.2152897001
429	0.2152780959
430	0.2152169777
431	0.2151660418
432	0.2151240269
433	0.2150374065
434	0.2149300534
435	0.2148120314
436	0.2147936411
437	0.2147519189
438	0.2146841206
439	0.2146681636
440	0.2146208442
441	0.2145913929
442	0.2145795145
443	0.2145450135
444	0.2144762348
445	0.2143604352
446	0.2143272741
447	0.214316311
448	0.2143098313
449	0.2142707322
450	0.2141944063
451	0.2141563673
452	0.2140122922
453	0.2139620201
454	0.2138887346
455	0.213733396
456	0.213721412
457	0.2137041318
458	0.2136738094
459	0.2136472864
460	0.2135429686
461	0.2134016475
462	0.2134012343
463	0.2133943219
464	0.2133528601
465	0.2132915549
466	0.2132887689
467	0.2131829609
468	0.2131164467
469	0.2130931111
470	0.2130458313
471	0.2130360439
472	0.2130338058
473	0.2130071971
474	0.2129703162
475	0.2129680285
476	0.2129489422
477	0.2129479813
478	0.2129436646
479	0.2128593488
480	0.2127320428
481	0.2127243631
482	0.2126700314
483	0.2126651539
484	0.2126552153
485	0.2126252216
486	0.2126028349
487	0.2125931535
488	0.212574636
489	0.2125680484
490	0.2125417433
491	0.212521932
492	0.212477995
493	0.2124619383
494	0.2124352164
495	0.2124138506
496	0.2123970694
497	0.212389919
498	0.2123769743
499	0.2123154432
500	0.2123153952
501	0.2122990966
502	0.2122740825
503	0.2122740922
504	0.2122590021
505	0.2122426597
506	0.2121794939
507	0.2121500254
508	0.2121356833
509	0.2120951377
510	0.2120657792
511	0.2120151202
512	0.2120097078
513	0.2119896124
514	0.2119855021
515	0.2119822429
516	0.2119823077
517	0.2119230028
518	0.2117805338
519	0.2117471237
520	0.2117179415
521	0.2116946559
522	0.2116889744
523	0.2116855812
524	0.2116208391
525	0.2116208826
526	0.211559995
527	0.2115424656
528	0.2114595723
529	0.211372822
530	0.2112100913
531	0.2112101517
532	0.2112059856
533	0.2111936378
534	0.2110597418
535	0.2110055418
536	0.211002923
537	0.2109877605
538	0.2108462478
539	0.2108419976
540	0.2108376796
541	0.2107317038
542	0.2107209334
543	0.2107195143
544	0.2106705914
545	0.210664112
546	0.2106093682
547	0.2105579132
548	0.2104625863
549	0.2104590507
550	0.2103719357
551	0.2103631876
552	0.2103590307
553	0.2103540789
554	0.2102838211
555	0.2102733248
556	0.2102632698
557	0.2102230068
558	0.2102065473
559	0.2101876507
560	0.2101794975
561	0.2101015677
562	0.2100989589
563	0.2100383087
564	0.2100308519
565	0.2099954386
566	0.2099189856
567	0.2099058293
568	0.2098101571
569	0.2097010087
570	0.2096977664
571	0.2096209606
572	0.2095662013
573	0.2095427021
574	0.2095406464
575	0.2094793482
576	0.2094664119
577	0.2094460883
578	0.209427348
579	0.2093336223
580	0.2092749812
581	0.2092722948
582	0.2091911778
583	0.2091910333
584	0.2091575899
585	0.2090825522
586	0.2090250079
587	0.2089287192
588	0.2089203874
589	0.2088922366
590	0.2088858029
591	0.2087712764
592	0.2087667772
593	0.208757369
594	0.2086641519
595	0.2086406847
596	0.2085459111
597	0.2085450416
598	0.2085450067
599	0.2084580944
600	0.208436904
601	0.208366503
602	0.208335787
603	0.2082665537
604	0.208252784
605	0.2082430448
606	0.2081938362
607	0.2081859328
608	0.208105473
609	0.2081054923
610	0.2080146333
611	0.2080098239
612	0.2080082562
613	0.2079910484
614	0.207866264
615	0.2078628531
616	0.2078061524
617	0.2077998229
618	0.2077489784
619	0.2076255446
620	0.2076147007
621	0.2075905592
622	0.2075334725
623	0.2074937768
624	0.2074262555
625	0.2074251863
626	0.2074129464
627	0.207407665
628	0.2074051341
629	0.2073646374
630	0.2073342292
631	0.2072443693
632	0.2071687636
633	0.2071586312
634	0.2070747751
635	0.2070154162
636	0.2070099808
637	0.2069441337
638	0.2069250351
639	0.206921594
640	0.2069096753
641	0.2068841982
642	0.206858981
643	0.2068531376
644	0.2068008763
645	0.2068005692
646	0.2067756965
647	0.2067029353
648	0.2066633057
649	0.2065631437
650	0.2065310902
651	0.2065113355
652	0.2065063945
653	0.2064675998
654	0.2064531676
655	0.2064461658
656	0.2064140254
657	0.2064056653
658	0.2064032571
659	0.2063493573
660	0.2063472882
661	0.2063001468
662	0.206264163
663	0.2062618587
664	0.206199197
665	0.2060659126
666	0.2060077071
667	0.2059856189
668	0.2059692292
669	0.2059451588
670	0.2059288564
671	0.2058454594
672	0.2058386449
673	0.2057704855
674	0.2057478591
675	0.2057218619
676	0.2056928589
677	0.2056714821
678	0.2056653554
679	0.2056578305
680	0.2056327816
681	0.2056254096
682	0.2056225969
683	0.2055732757
684	0.2055381402
685	0.2054699886
686	0.2053995641
687	0.2053014452
688	0.2052902432
689	0.2052724523
690	0.2052662486
691	0.205252986
692	0.2052518853
693	0.2052485247
694	0.2051817531
695	0.2051702765
696	0.2051443942
697	0.205064366
698	0.2049861955
699	0.2048853512
700	0.204885052
701	0.2048615215
702	0.2048592084
703	0.2048547411
704	0.2048487862
705	0.2048358988
706	0.2048284779
707	0.2048044048
708	0.2047529959
709	0.2047439463
710	0.2047366497
711	0.2047328203
712	0.2047259936
713	0.2046725161
714	0.2046477732
715	0.2046199784
716	0.2045400338
717	0.204539301
718	0.2044973299
719	0.2044638107
720	0.204444291
721	0.2044404733
722	0.204433891
723	0.2044329862
724	0.2043131848
725	0.2042745588
726	0.2042027472
727	0.2041278371
728	0.2041177072
729	0.204091057
730	0.2040338374
731	0.2040338796
732	0.204033851
733	0.2039775576
734	0.2039423356
735	0.2039344525
736	0.2039342137
737	0.2039320621
738	0.2039265273
739	0.2038469343
740	0.2037914037
741	0.2037375239
742	0.2037233477
743	0.2036585109
744	0.2036572472
745	0.2036569188
746	0.203605839
747	0.2035531479
748	0.2035411852
749	0.2035391207
750	0.2034811961
751	0.2034419459
752	0.2033952327
753	0.2033508628
754	0.2033377627
755	0.2033363703
756	0.2033290838
757	0.2033246093
758	0.2032860905
759	0.2032817309
760	0.2032617397
761	0.2032371646
762	0.2031609966
763	0.2031478567
764	0.2031454849
765	0.2030842138
766	0.2030380921
767	0.2030362146
768	0.2030263028
769	0.2030241424
770	0.2029548202
771	0.2029484595
772	0.202878574
773	0.2028344248
774	0.2028138859
775	0.2028102229
776	0.2028077082
777	0.2028074587
778	0.2027227511
779	0.2026738771
780	0.2026375568
781	0.2026296178
782	0.2026124197
783	0.2026058497
784	0.2025976291
785	0.2025172516
786	0.2025172723
787	0.2024634168
788	0.202451541
789	0.2024512863
790	0.2023864551
791	0.2023381818
792	0.2023331437
793	0.2023331135
794	0.2023322081
795	0.2022850501
796	0.2022205916
797	0.202217757
798	0.2021585991
799	0.2021381137
800	0.2020875887
801	0.2020872071
802	0.2020102817
803	0.2019790282
804	0.2019739995
805	0.2019583456
806	0.2019355763
807	0.2018358617
808	0.2018321477
809	0.2017896522
810	0.2017872319
811	0.2017343089
812	0.2017259775
813	0.2017074538
814	0.2016977517
815	0.2016133169
816	0.2015838599
817	0.2015301043
818	0.2014891023
819	0.2014746757
820	0.2014140763
821	0.2014009265
822	0.2013990936
823	0.201396457
824	0.2013643295
825	0.2013524602
826	0.2013498758
827	0.2013110586
828	0.2012339296
829	0.2011947831
830	0.20117738
831	0.2011727658
832	0.2011226999
833	0.2011129633
834	0.2010967921
835	0.2010948584
836	0.2010947801
837	0.2010944646
838	0.2010824987
839	0.2010760448
840	0.2010519688
841	0.2010518437
842	0.2010044602
843	0.2009366303
844	0.2008793106
845	0.2008735148
846	0.2008309756
847	0.2008059599
848	0.2007887007
849	0.2007809907
850	0.2007319586
851	0.2007232833
852	0.2006922265
853	0.2006381361
854	0.2005622307
855	0.2004915204
856	0.200481753
857	0.2004565979
858	0.2004526354
859	0.2004432326
860	0.2003629339
861	0.2003627259
862	0.2003583406
863	0.2003442398
864	0.2003349251
865	0.2003273385
866	0.2002809147
867	0.2001793324
868	0.2001753455
869	0.2001726248
870	0.2001188609
871	0.200090563
872	0.2000666592
873	0.2000617158
874	0.2000436262
875	0.2000434535
876	0.2000373073
877	0.2000271414
878	0.2000023334
879	0.1999982786
880	0.1999752549
881	0.199975251
882	0.1999563531
883	0.1999017031
884	0.1998316363
885	0.1998297768
886	0.1998282785
887	0.1998282636
888	0.1998054026
889	0.1997384279
890	0.1996587559
891	0.1996544213
892	0.1996216502
893	0.1996148467
894	0.1996126087
895	0.1996124987
896	0.1995969066
897	0.1995918542
898	0.1995869895
899	0.1995805027
900	0.1995724068
901	0.1995722204
902	0.1995324543
903	0.1995325113
904	0.1995289382
905	0.1995236194
906	0.1995116312
907	0.1995101626
908	0.1994935484
909	0.1994593947
910	0.1994589581
911	0.1994265156
912	0.1994236375
913	0.1993857049
914	0.1993562657
915	0.1993507661
916	0.1992984928
917	0.1992947424
918	0.1992895379
919	0.1992540999
920	0.1992520715
921	0.1992519921
922	0.1992196943
923	0.1991882078
924	0.1991850598
925	0.1991324711
926	0.1991050567
927	0.1991026704
928	0.1990509083
929	0.1990490022
930	0.1990360231
931	0.1990214693
932	0.1990204849
933	0.199019449
934	0.1989959002
935	0.1989892162
936	0.1989470065
937	0.1989435721
938	0.1989403433
939	0.1989337765
940	0.1989318615
941	0.1989312763
942	0.1989288371
943	0.1988954595
944	0.1988826489
945	0.1988420072
946	0.1988384804
947	0.1988359215
948	0.1988270766
949	0.1988244978
950	0.1988233718
951	0.1988109838
952	0.1987522989
953	0.1987442914
954	0.1986731824
955	0.1986713382
956	0.1986079547
957	0.1985268304
958	0.1985264615
959	0.1984889165
960	0.1984797723
961	0.1984723659
962	0.1984083484
963	0.1983971443
964	0.1983672282
965	0.1983648891
966	0.1983611579
967	0.1983459473
968	0.1982381009
969	0.1981817198
970	0.1981623212
971	0.1980769628
972	0.1979780514
973	0.1979699978
974	0.1979696202
975	0.1979601449
976	0.1979579364
977	0.1979521379
978	0.1979304585
979	0.1979276592
980	0.1978930873
981	0.1978767141
982	0.1978751514
983	0.1978698039
984	0.1978689142
985	0.1978196984
986	0.1977408051
987	0.1977286987
988	0.1977227737
989	0.1977149429
990	0.197699117
991	0.1976682032
992	0.1976343392
993	0.1975929782
994	0.1975908094
995	0.197590734
996	0.1975607737
997	0.1975493275
998	0.1975418267
999	0.1975350963
